display_name,claim,category,url,meta_description,features,vorteile,pdf_angebotsblatt
Kraftspannfutter TOPlus AC,"standardisierte, preiswerte und über Jahrzehnte bewährte Automatisierungskomponenten, welche vom Automatisierungsanbieter eingesetzt werden können",automatisierung > ac-linie,https://www.hainbuch.com/produkte/automatisierung/ac-linie/toplus-ac/,"Eine standardisierte, preiswerte und über Jahrzehnte bewährte Automatisierungslösung die bedienerloses Rüsten und Fertigen möglich macht.",bedienerloses Rüsten und Fertigen unterschiedlicher Spanndurchmesser und Einfuttertiefen | robuste Mechanik sorgt für reibungslose automatisierte Rüstvorgänge mittels Roboter oder Portal | in Ausführung TOPlus erhältlich | auch einsetzbar bei Bearbeitungszentren und Vertikaldrehmaschinen,,
centroteX AC,centroteX AC Schnittstelle zum automatisierten Wechsel von vorgerüsteten Spannfuttern und Spanndornen,automatisierung,https://www.hainbuch.com/produkte/automatisierung/centrotex-ac/,"Eine standardisierte, preiswerte und über Jahrzehnte bewährte Automatisierungslösung die bedienerloses Rüsten und Fertigen möglich macht.","Wechselteile können auf der Maschine oder separat außerhalb der Maschine vorgerüstet werden | für Maschinen mit horizontaler oder vertikaler rotierender Spindel sowie stationär [BAZ, Messmaschine, …] einsetzbar | Spannmitteleinzug über Bajonettmechanik mittels mechanischem Aktuator [z. B. Schraubwerkzeug]",,
Vischer & Bolli Automation,"Vom Werkstück, über das Spannmittel, zur fertigen Automatisierungslösung.",automatisierung,https://www.hainbuch.com/produkte/automatisierung/vischer-bolli-automation/,"Vom Werkstück, über das Spannmittel, zur fertigen Automatisierungslösung. Sie besorgen die Maschine, wir kümmern uns um den Rest.","Sie kaufen die Maschine, wir machen den Rest. | Ihre Herausforderung: | Sie möchten mannlos fertigen. | Unser Angebot: | wir planen den gesamten Prozess und setzen diesen für Sie um. | Angefangen bei der perfekten Werkstückspannung planen und realisieren wir für Sie die optimale Roboterzelle mit allen dazugehörigen Komponenten und Peripheriegeräten, sodass Sie vollautomatisiert fertigen können. | Von uns erhalten Sie alles aus einer Hand – vom Spannmittel über den Roboter bis zur passenden Software. Für die Werkstückspannung decken wir das gesamte Spektrum von rotierenden und stationären Spannmitteln ab. | Profitieren auch Sie von unserem Rundum-sorglos-Paket in Sachen Automatisierung! | Vereinbaren Sie gleich einen Termin zur kostenlosen Erstberatung unter: | +49 8380 363989-0 | oder | verkauf@vb-automation.com | . | VBA AGILLINE | zum Drehen und Fräsen | Handling-Gewicht | bis 10 KG | Perfekt zur Bearbeitung von Kleinteilen | (z.B. Medizintechnik und Feinmechanik) | Einfaches, flexibles und preiswertes System mit geringem Platzbedarf | Manuell fahrbare Roboterzelle zum schnellen und vielseitigen Einsatz an verschiedenen Standorten | Standardisierte „Dockingstation“ zur Andockung aller Schnittstellen und Anschlüsse an der Maschine | Intuitive, grafische HMI zur Bedienung ohne spezielle Roboterkenntnisse | Doppelauszug-Schubladensystem mit 4 Ebenen |  | VBA SMARTLINE | zum Drehen und Fräsen und Schleifen | Handling-Gewicht | bis 14 KG | Einfachste Bedienung | Schnelle Umrüstzeiten | Platzsparende Aufstellfläche auf Europaletten-Größe (1200 x 800 mm) | Implementierung kompletter Fertigungsprozesse (Reinigen, Konservieren, Messen, Beschriften, etc.) | Schnelle Zugänglichkeit zur Maschine dank fahrbarer Zelle mit Schnell-Andocksystem | Für neue und bestehende Produktionsmaschinen | Modular erweiterbar mit verschiedenen Speicher- und Bearbeitungssystemen | Automatischer Spannkopf- und Backenwechsel möglich für kleinste Losgrößen |  | Video - VBA SMARTLINE (Drehen) |  | Video - VBA SMARTLINE (Fräsen) | VBA FLEXICELL | zum Drehen und Fräsen und Schleifen | Handling-Gewicht | bis 165 KG | Bestes Preis-Leistungsverhältnis | Roboter mit Galgen- oder Sockelaufbau | Flexible Aufstellung, benutzerfreundliche Bedienung und kompakte Bauweise | Maschinenbeladung über Front- oder Seitenfenster | FlexiBox-Lagerlösung für Werkstücke, Spannköpfe und Spannbacken mit 5 oder 10 Schubladen und mit Einzel- oder Doppelauszug | Manueller oder automatischer Betrieb möglich dank hochklappbarem Roboterarm | Automatischer Spannkopf- und Backenwechsel möglich für kleinste Losgrößen | VBA ENTRYLINE | zum Fräsen | Handling-Gewicht | bis 300 KG | Modularer Aufbau ermöglicht Start mit Vorrichtungshandling und späterem Ausbau auf Teilehandling | Ausbaufähig für gesamte Prozesse | Manuelle Maschinenbedienung weiterhin möglich dank Klapptüren an der Zelle | Verfügbar mit festen Regalen, Doppel-Auszugregal oder Liftsystem | Einfache Steuerung, keine Roboterkenntnisse nötig | Anbindung an ERP System möglich | Leitrechnerfähig | Vorrichtungs-Handling bis 500 x 500 mm Palettengröße |  | Höchste Flexibilität in modularer Roboterzelle | KUKA Roboter kombiniert Werkstück-, Vorrichtungs- und Werkzeughandling in einer fünfstufigen Komplettlösung | VBA PROLINE | zum Drehen, Fräsen, Schleifen und mehr | Handling-Gewicht | bis 600 KG | Individuell auf ihre Anforderungen maßgeschneiderte Gesamtkonzepte beim Drehen, Fräsen, Schleifen, Montage etc. | Individuell auf ihre Bauteile angepasste Spanntechnik von HAINBUCH und VBA bieten die Basis für die Automationszelle | Ab Losgröße 1 bis zu Großserien, autonome Fertigung bis 72 Stunden, mit beliebigen integrierten Peripheriegeräten an (z.B. Waschen, Messen, Laserbeschriften) | Freie Wahl zwischen Vorrichtungs-, Werkstück- und Werkzeughandling | Standardmäßig integrierter Leitrechner | Vorrichtungs-Handling bis 1000 x 1000 mm Palettengröße |  | Modulare Zelle für vollautomatisierte Fertigung | Spindelhubgetriebe-Hersteller ZIMM erhöht Wettbewerbsfähigkeit durch Automatisierung | VBA HEAVYLINE | zum Fräsen und Vertikaldrehen | Handling-Gewicht | bis 15000 KG | Individuell auf ihre Anforderungen maßgeschneiderte Gesamtkonzepte beim Vertikaldrehen, Fräsen etc. | Modularer Aufbau nach Kundenwunsch und sehr stabile Konstruktion | 360° Turmdrehung ohne Gabelüberstand, Rüstplatz 360° drehbar | Fahrbare X-Achse nach Kundenwunsch | Großer Teleskopbereich mit Doppelgreifer-Gabel (an Paletten anpassbar) | Gesamtes VBA Spanntechnikkonzept für die Großteilefertigung | Leitrechnerfähig | Vorrichtungs-Handling bis 2500 x 2500 mm Palettengröße |  | VBA HEAVYLINE (1,5 Tonnen) |  | VBA HEAVYLINE (2 Tonnen) | Die passende Spanntechnik gleich mit dazu? Alles aus einer Hand! | DOCKLOCK AC | SCHNELLWECHSELSCHNITTSTELLE IN DER AUTOMATISIERTEN STATIONÄREN BEARBEITUNG | Automatisiertes Nullpunktspannsystem für den automatisierten Vorrichtungsschnellwechsel | Eine Universalschnittstelle für Maschine, Rüstplatz und Roboterflansch | Schutz vor Schmutz und Spänen dank Ausblasung von Spannbohrung und Auflageinseln und automatischer Verschließung der Spannstelle | Höchste Prozesssicherheit dank integrierter Auflageund Spannzustandskontrolle | In hydraulischer oder pneumatischer Ausführung | Vorrichtungswechsel von ≤ 2 Minuten | Wechselwiederholgenauigkeit von ≤ 0,005 mm | CENTROTEX AC | SCHNELLWECHSELSCHNITTSTELLE IN DER AUTOMATISIERTEN ROTATIVEN BEARBEITUNG | Schnittstelle zum automatisierten Schnellwechsel von Spannfuttern Spanndornen und 3-Backenfuttern | Individuell anpassbar und unabhängig vom Spannmittelhersteller | Bedienerloses Rüsten und Fertigen von Werkstücken mit unterschiedlichen Spanndurchmessern, Spannprofilen und Einfuttertiefen | Höchste Prozesssicherheit dank intelligenter Sensorabfragen | Wechselwiederholgenauigkeit von ≤ 0,003 mm | Flexible und effiziente Fertigung ab Losgröße 1 | AUTOMATISIERTER SPANNKOPF- UND SPANNBACKENWECHSEL | Höchste Flexibilität bei geringem HandlingGewicht | Ideal bei kleinen Losgrößen und hoher Varianz | TOPlus AC zum automatisierten Spannkopfund Werkstückanschlagwechsel | Automatisierter Spannbackenwechsel für Zentrumspanner | Automatisierter Spannbackenwechsel für Backenfutter | Flyer zur Automatisierung | Automatisierung Vol. 1 | Automatisierung Produktübersicht | Los geht's | Starten Sie mit uns | ins Zeitalter der Automatisierung | Als Teil der HAINBUCH Group versteht sich Vischer & Bolli Automation GmbH als Spezialist und Generalunternehmer für Automatisierung von kompletten Fertigungszellen. | Jetzt anfragen | Automation | Automatisierte Spanntechnik | Automation / Automatisierungslösungen | AC Linie | Nullpunktspannsystem automatisiert | Manuelle Spanntechnik | HPC-Werkzeuge | Werkzeughaltersysteme | Manuelle Spanntechnik | Hochleistungszerspanung | Werkzeughaltersysteme | Vischer & Bolli Automation | Unternehmen | Karriere",,
IQ Spannfutter und IQ Spanndorn,Einsparung von Messvorgängen,,https://www.hainbuch.com/produkte/iq-spannfutter-und-iq-spanndorn/,Unser Spannkopffutter mit integrierter intelligenter Messtechnik erledigt die elektronische Werkstückanlagekontrolle ohne aufwendige Medienverrohrungen.,verhindern Ausschuss | erhöhen die Maschinenverfügbarkeit und Prozessfähigkeit | bedarfs- und zustandsorientierte Wartungsintervalle | Überwachung definierter Spannkräfte | Dokumentation der Messergebnisse,,
Nullpunktspannsystem DOCKLOCK,Spannmittel-Schnellwechselsystem für stationäre Bearbeitungen,,https://www.hainbuch.com/produkte/nullpunktspannsystem/,Das HAINBUCH DockLock und DockLock AC Nullpunktspannsystem für den schnellen manuellen und automatisierten stationären Spannmittelwechsel.,"sind durch höchste Einzugs- und Haltekräfte für jeden Einsatzfall geeignet | einfaches Handling, da kein Verkanten der Spannbolzen | Wiederholgenauigkeit ≤ 0,005 mm ohne auszurichten",,
TESTit Spannkraftmessgerät,Sichere Prozesse durch exaktes Messen,,https://www.hainbuch.com/produkte/pruef-und-messtechnik/,"Welche Spannkraft an Ihrem Werkstück ankommt, sagt Ihnen unser Spannkraftmessgerät TESTit – für Innenspannung und Außenspannung","Spannkraftmessung für Außen- und Innenspannung | Einzugskraftmessung von Hohlschaftkegeln | zwei Einheiten, verbunden mit plug & play: | IT Modul – nur 1x benötigt | TEST Modul – für verschiedene Mess-Anwendungen | auch rotierend [unter Drehzahl] einsetzbar | TESTit App zur Visualisierung und Archivierung",,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/05_Pruef-und-Messtechnik/Angebotsblatt-Pruef-und-Messtechnik-TESTit-Spannkraftmessgeraet.pdf
CENTREX duo,Zentriereinheit für zuverlässige Prozesse,schnellwechselsysteme,https://www.hainbuch.com/produkte/schnellwechselsysteme/centrex-duo/,Eine Positionswiederholgenauigkeit der Fertigungsteile und eine hohe Prozesssicherheit sind das A und O in der Produktion - CENTREX duo Zentriereinheit,"Zentrierelement zur hochgenauen Positionierung von zwei Bauteilen | extrem hohe Wiederholgenauigkeit [≤ 0,003 mm] | schmutz- und späneunempfindlich | flexibel in Eigenkonstruktionen integrierbar, auch auf kleinstem Bauraum | in Tausenden Konstruktionen verbaut | einfachstes Handling",einsetzbar auf kleinstem Bauraum | flexibel in Eigenkonstruktionen integrierbar | keine aufwändige Wartung notwendig | kein Medium notwendig | Zeitersparnis beim Rüsten,
centroteX M,Highspeed-Spannmittelwechsel,schnellwechselsysteme,https://www.hainbuch.com/produkte/schnellwechselsysteme/centrotex-m/,Es folgt eine trastische Reduzierung der Spannmittelwechselzeiten. Außerdem ist Kraftbetätigung oder Fluidbetätigung der Spannmittel möglich.,"Spannmittel-Schnellwechsel-System | drastische Reduzierung der Spannmittelwechselzeiten | Wiederholgenauigkeit zwischen Maschinen- und Spannmitteladapter | ≤ 0,003 mm möglich – ohne auszurichten | maschinenübergreifender Spannmitteleinsatz | Kraft- oder Fluidbetätigung der Spannmittel möglich | Monteq Wechselvorrichtung bei schweren Spannmitteln für einfacheres Handling und bestmögliche Wechselgenauigkeit",ab Lager lieferbar | umfangreiche Auswahl an Standardspannmitteln | Bajonettkupplung | centroteX inkl. B-teX,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/07_Schnellwechselsysteme/Angebotsblatt-Schnellwechselsysteme-centroteX-Standard-M-A4-DE.pdf
centroteX S,Highspeed-Spannmittelwechsel,schnellwechselsysteme,https://www.hainbuch.com/produkte/schnellwechselsysteme/centrotex-s/,Es gibt eine trastische Reduzierung der Spannmittelwechselzeiten. Außerdem ist Kraftbetätigung oder Fluidbetätigung der Spannmittel möglich.,"Spannmittel-Schnellwechsel-System | drastische Reduzierung der Spannmittelwechselzeiten | Wiederholgenauigkeit zwischen Maschinen- und Spannmitteladapter | ≤ 0,003 mm möglich – ohne auszurichten | maschinenübergreifender Spannmitteleinsatz | Kraft- oder Fluidbetätigung der Spannmittel möglich | Monteq Wechselvorrichtung bei schweren Spannmitteln für einfacheres Handling und bestmögliche Wechselgenauigkeit",,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/Schnellwechselsysteme/centroteX-capteX-mandoteX-B-teX/Angebotsblatt-Schnellwechselsysteme-centroteX-Standard-S-A4-DE.pdf
centroteX S4,Highspeed-Spannmittelwechsel,schnellwechselsysteme,https://www.hainbuch.com/produkte/schnellwechselsysteme/centrotex-s4/,Es gibt eine drastische Reduzierung der Spannmittelwechselzeiten. Außerdem ist Kraftbetätigung oder Fluidbetätigung der Spannmittel möglich.,"Spannmittel-Schnellwechsel-System | drastische Reduzierung der Spannmittelwechselzeiten | Wiederholgenauigkeit zwischen Maschinen- und Spannmitteladapter | ≤ 0,003 mm möglich – ohne auszurichten | maschinenübergreifender Spannmitteleinsatz | Kraft- oder Fluidbetätigung der Spannmittel möglich | Monteq Wechselvorrichtung bei schweren Spannmitteln für einfacheres Handling und bestmögliche Wechselgenauigkeit",ab Lager lieferbar | umfangreiche Auswahl an Standardspannmitteln | Bajonettkupplung,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/Schnellwechselsysteme/centroteX-S4/Angebotsblatt-Schnellwechselsysteme-centroteX-Standard-S4-A4-DE.pdf
centroteX Sonder,Highspeed-Spannmittelwechsel,schnellwechselsysteme,https://www.hainbuch.com/produkte/schnellwechselsysteme/centrotex-sonder/,Es gibt eine trastische Reduzierung der Spannmittelwechselzeiten. Außerdem ist Kraftbetätigung oder Fluidbetätigung der Spannmittel möglich.,"Spannmittel-Schnellwechsel-System | drastische Reduzierung der Spannmittelwechselzeiten | Wiederholgenauigkeit zwischen Maschinen- und Spannmitteladapter | ≤ 0,003 mm möglich – ohne auszurichten | maschinenübergreifender Spannmitteleinsatz | Kraft- oder Fluidbetätigung der Spannmittel möglich | Monteq Wechselvorrichtung bei schweren Spannmitteln für einfacheres Handling und bestmögliche Wechselgenauigkeit",Schnellwechsel auch von Spannmitteln mit Ø > 300 mm | Bajonettkupplung,
Handling Line,"Einfaches Lagern, Transportieren und Rüsten von Spannmitteln",schnellwechselsysteme,https://www.hainbuch.com/produkte/schnellwechselsysteme/handling-line/,Mit der HAINBUCH Handling Line rüsten Sie einfach und schnell das richtige Spannmittel auf Ihrer Maschine – Handling Line,Spannmittel sind durch saubere Lagerung geschützt | Spannmittel sind immer griffbereit | flexibler Einsatz auf verschiedenen Maschinen | ermöglicht das Rüsten auch ohne Hallenkran,sichere Handhabung von schweren Spannmitteln und bestmöglicher Wechselgenauigkeit | kurze Wechselzeiten durch Schnellverschlussbolzen | kein schräg hängendes Spannmittel | Monteq im Shop | Bedienungsanleitung Monteq Wechselvorrichtung S - M,
mandoteX,Highspeed-Spannmittelwechsel,schnellwechselsysteme,https://www.hainbuch.com/produkte/schnellwechselsysteme/mandotex/,Es folgt eine trastische Reduzierung der Spannmittelwechselzeiten. Außerdem ist Kraftbetätigung oder Fluidbetätigung der Spannmittel möglich.,"Spannmittel-Schnellwechsel-System | drastische Reduzierung der Spannmittelwechselzeiten | Wiederholgenauigkeit zwischen Maschinen- und Spannmitteladapter | ≤ 0,003 mm möglich – ohne auszurichten | maschinenübergreifender Spannmitteleinsatz | Kraft- oder Fluidbetätigung der Spannmittel möglich | Monteq Wechselvorrichtung bei schweren Spannmitteln für einfacheres Handling und bestmögliche Wechselgenauigkeit",ab Lager lieferbar | umfangreiche Auswahl an Standardspannmitteln | Bajonettkupplung,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/07_Schnellwechselsysteme/Angebotsblatt-Schnellwechselsysteme-mandoteX.pdf
Sonder Prüf- und Messtechnik,TESTit Spannkraftmessgerät,sonderloesungen,https://www.hainbuch.com/produkte/sonderloesungen/sonder-pruef-und-messtechnik/,Sonderausführung zur axialen Einzugskraftmessung und Dokumentation der Messergebnisse bei Prüfung von Nullpunktspannsystemen,Sonderausführung zur axialen Einzugskraftmessung und Dokumentation der Messergebnisse | Einsatzgebiet ist die Prüfung von Nullpunktspannsystemen,,
Sonder-Schnellwechselsysteme,optimal auf Ihre Anforderungen abgestimmte Sonderlösung,sonderloesungen,https://www.hainbuch.com/produkte/sonderloesungen/sonder-schnellwechselsysteme/,"Unsere Sonder-Schnellwechselsysteme sind individuelle Lösungen, die Fertigungsprozesse optimieren und perfekt auf Ihre Anforderungen abgestimmt sind.",optimiert Prozesse in der Fertigung | neuartige Fertigungsmöglichkeiten durch modernste Spannmitteltechnologien,,
